NUM;DATE;JACKPOT;N1;N2;N3;N4;N5;E1;E2
1864;2025-08-01;168000000;4;16;25;29;30;2;10
1863;2025-07-29;151000000;5;6;42;44;46;4;8
1862;2025-07-25;138000000;6;7;23;32;36;11;12
1861;2025-07-22;122000000;8;15;26;33;41;9;10
1860;2025-07-18;111000000;13;19;25;42;45;2;9
1859;2025-07-15;97000000;24;38;41;45;49;1;6
1858;2025-07-11;86000000;8;23;24;45;49;2;10
1857;2025-07-08;74000000;1;8;9;18;50;1;5
1856;2025-07-04;64000000;19;29;42;45;48;5;7
1855;2025-07-01;50000000;1;17;28;32;34;7;8
1854;2025-06-27;39000000;19;27;36;45;49;7;10
1853;2025-06-24;26000000;7;16;21;23;39;7;11
1852;2025-06-20;17000000;5;8;24;37;47;3;9
1851;2025-06-17;250000000;13;22;23;44;49;3;5
1850;2025-06-13;250000000;2;28;40;43;45;3;7
1849;2025-06-10;250000000;19;36;39;40;45;5;6
1848;2025-06-06;250000000;20;21;29;30;35;2;12
1847;2025-06-03;237000000;12;15;38;47;48;5;7
1846;2025-05-30;221000000;4;7;14;33;36;1;5
1845;2025-05-27;202000000;12;30;38;40;41;4;12
1844;2025-05-23;185000000;10;29;43;46;49;7;12
1843;2025-05-20;167000000;1;8;13;29;47;5;6
1842;2025-05-16;154000000;6;9;25;37;46;6;12
1841;2025-05-13;137000000;9;19;44;47;50;2;9
1840;2025-05-09;124000000;15;18;25;29;47;5;9
1839;2025-05-06;110000000;8;23;24;47;48;4;9
1838;2025-05-02;99000000;3;5;19;21;49;1;10
1837;2025-04-29;85000000;2;9;24;30;41;1;11
1836;2025-04-25;75000000;13;22;32;39;41;1;12
1835;2025-04-22;63000000;7;28;33;37;47;9;12
1834;2025-04-18;52000000;20;27;35;39;48;3;8
1833;2025-04-15;39000000;3;31;33;38;44;6;12
1832;2025-04-11;29000000;14;28;34;46;49;3;8
1831;2025-04-08;17000000;3;14;15;48;49;1;7
1830;2025-04-04;29000000;27;39;41;45;50;5;7
1829;2025-04-01;17000000;9;24;30;46;49;4;12
1828;2025-03-28;243000000;10;21;30;42;45;1;9
1827;2025-03-25;217000000;1;3;18;33;36;2;6
1826;2025-03-21;198000000;9;17;18;21;50;5;12
1825;2025-03-18;178000000;4;9;35;46;50;8;11
1824;2025-03-14;162000000;8;10;33;35;49;2;9
1823;2025-03-11;143000000;13;36;37;42;47;7;11
1822;2025-03-07;130000000;6;10;27;32;48;3;8
1821;2025-03-04;17000000;15;20;29;35;42;2;9
1820;2025-02-28;52000000;7;16;31;43;46;5;9
1819;2025-02-25;39000000;17;22;23;24;44;6;11
1818;2025-02-21;29000000;1;3;11;20;43;2;11
1817;2025-02-18;17000000;5;14;25;26;40;5;7
1816;2025-02-14;77000000;4;14;31;36;38;3;10
1815;2025-02-11;63000000;3;21;36;41;46;1;6
1814;2025-02-07;52000000;10;23;24;29;45;8;10
1813;2025-02-04;38000000;3;4;29;39;43;5;10
1812;2025-01-31;28000000;22;30;41;44;49;2;7
1811;2025-01-28;17000000;9;37;41;42;49;1;9
1810;2025-01-24;98000000;2;11;19;30;49;3;8
1809;2025-01-21;86000000;6;8;14;27;41;4;5
1808;2025-01-17;76000000;8;15;24;35;42;6;8
1807;2025-01-14;62000000;18;20;29;41;48;5;9
1806;2025-01-10;52000000;12;27;36;37;42;6;7
1805;2025-01-07;39000000;20;33;35;41;47;4;12
1804;2025-01-03;29000000;3;19;29;35;37;1;9
1803;2024-12-31;17000000;19;24;26;28;33;8;12
1802;2024-12-27;41000000;12;22;27;33;45;4;8
1801;2024-12-24;26000000;6;10;16;23;24;11;12
1800;2024-12-20;17000000;10;14;21;33;50;6;9
1799;2024-12-17;74000000;1;3;4;21;29;2;7
1798;2024-12-13;64000000;1;15;25;42;50;4;10
1797;2024-12-10;50000000;5;24;25;29;47;5;9
1796;2024-12-06;39000000;14;25;39;44;47;6;10
1795;2024-12-03;26000000;23;25;34;46;47;6;8
1794;2024-11-29;17000000;8;17;18;29;43;5;9
1793;2024-11-26;208000000;7;11;25;31;40;9;12
1792;2024-11-22;189000000;10;11;12;29;31;8;11
1791;2024-11-19;168000000;4;13;20;28;49;7;12
1790;2024-11-15;154000000;7;8;34;39;44;2;6
1789;2024-11-12;137000000;10;11;12;22;50;1;10
1788;2024-11-08;123000000;2;33;35;42;48;1;3
1787;2024-11-05;108000000;1;8;19;37;50;6;9
1786;2024-11-01;98000000;7;33;38;44;50;2;7
1785;2024-10-29;85000000;1;3;19;30;45;10;12
1784;2024-10-25;75000000;4;17;20;25;45;8;9
1783;2024-10-22;61000000;3;13;27;30;46;1;2
1782;2024-10-18;51000000;4;15;23;30;39;1;12
1781;2024-10-15;38000000;2;15;32;36;48;3;9
1780;2024-10-11;29000000;16;23;32;46;49;4;5
1779;2024-10-08;17000000;7;14;19;34;40;6;8
1778;2024-10-04;160000000;4;8;16;17;20;1;6
1777;2024-10-01;143000000;8;22;29;41;42;9;11
1776;2024-09-27;130000000;7;20;21;27;38;5;12
1775;2024-09-24;64000000;18;20;21;36;49;3;5
1774;2024-09-20;54000000;16;25;29;34;37;3;7
1773;2024-09-17;41000000;20;30;32;41;44;1;10
1772;2024-09-13;29000000;10;15;17;31;42;4;12
1771;2024-09-10;17000000;6;29;46;47;48;2;9
1770;2024-09-06;148000000;12;14;34;41;47;3;4
1769;2024-09-03;131000000;7;9;11;16;45;2;5
1768;2024-08-30;119000000;3;24;27;33;42;4;6
