year,month,day,dayofweek,main_sum,main_range,main_even_count,main_high_count,stars_sum,stars_even_count,jackpot_val,main_any_days_since_seen_avg,star_any_days_since_seen_avg,N1_lag1,N1_lag2,N1_lag3,N2_lag1,N2_lag2,N2_lag3,N3_lag1,N3_lag2,N3_lag3,N4_lag1,N4_lag2,N4_lag3,N5_lag1,N5_lag2,N5_lag3,E1_lag1,E1_lag2,E1_lag3,E2_lag1,E2_lag2,E2_lag3,N1_days_since_seen,N2_days_since_seen,N3_days_since_seen,N4_days_since_seen,N5_days_since_seen,E1_days_since_seen,E2_days_since_seen,N1_rolling_unique_10,N1_rolling_unique_25,N1_rolling_unique_50,N2_rolling_unique_10,N2_rolling_unique_25,N2_rolling_unique_50,N3_rolling_unique_10,N3_rolling_unique_25,N3_rolling_unique_50,N4_rolling_unique_10,N4_rolling_unique_25,N4_rolling_unique_50,N5_rolling_unique_10,N5_rolling_unique_25,N5_rolling_unique_50,E1_rolling_unique_10,E1_rolling_unique_25,E1_rolling_unique_50,E2_rolling_unique_10,E2_rolling_unique_25,E2_rolling_unique_50,target_N1,target_N2,target_N3,target_N4,target_N5,target_E1,target_E2
2004,7,30,4,125,41,2,2,7,1,22000000,33.6,35.0,7.0,24.0,2.0,10.0,26.0,5.0,27.0,31.0,12.0,31.0,38.0,19.0,34.0,50.0,44.0,3.0,5.0,8.0,8.0,8.0,9.0,56.0,7.0,154.0,147.0,14.0,28.0,42.0,7.0,13.0,13.0,8.0,18.0,18.0,10.0,17.0,17.0,9.0,19.0,19.0,7.0,17.0,17.0,5.0,8.0,8.0,6.0,8.0,8.0,5.0,15.0,24.0,35.0,44.0,5.0,6.0
2004,8,6,4,123,39,2,2,11,1,24000000,39.2,14.0,9.0,7.0,24.0,10.0,10.0,26.0,19.0,27.0,31.0,37.0,31.0,38.0,50.0,34.0,50.0,1.0,3.0,5.0,6.0,8.0,8.0,98.0,112.0,35.0,112.0,28.0,21.0,7.0,7.0,12.0,13.0,8.0,18.0,18.0,9.0,16.0,17.0,10.0,19.0,19.0,7.0,16.0,17.0,5.0,7.0,8.0,6.0,8.0,8.0,20.0,27.0,41.0,43.0,50.0,5.0,8.0
2004,10,15,4,137,29,2,2,13,1,17000000,49.0,21.0,1.0,12.0,21.0,10.0,20.0,26.0,12.0,21.0,27.0,16.0,45.0,44.0,48.0,48.0,48.0,2.0,5.0,1.0,6.0,6.0,7.0,182.0,112.0,49.0,77.0,119.0,14.0,28.0,9.0,15.0,17.0,10.0,19.0,22.0,9.0,19.0,21.0,10.0,20.0,22.0,8.0,13.0,18.0,4.0,7.0,8.0,5.0,7.0,8.0,1.0,9.0,23.0,25.0,40.0,3.0,9.0
2004,11,19,4,119,36,2,3,8,2,32000000,51.8,42.0,4.0,6.0,1.0,11.0,19.0,8.0,12.0,25.0,32.0,13.0,42.0,35.0,32.0,49.0,38.0,3.0,1.0,4.0,9.0,7.0,9.0,21.0,63.0,63.0,147.0,266.0,42.0,42.0,7.0,15.0,17.0,9.0,17.0,24.0,8.0,19.0,23.0,10.0,21.0,24.0,8.0,14.0,19.0,5.0,7.0,8.0,4.0,7.0,8.0,1.0,4.0,24.0,34.0,36.0,6.0,8.0
2004,11,26,4,99,35,4,2,14,2,41000000,43.4,24.5,1.0,4.0,6.0,18.0,11.0,19.0,29.0,12.0,25.0,34.0,13.0,42.0,37.0,32.0,49.0,2.0,3.0,1.0,6.0,9.0,7.0,7.0,231.0,112.0,7.0,238.0,84.0,42.0,6.0,15.0,17.0,10.0,17.0,24.0,9.0,18.0,23.0,9.0,20.0,24.0,8.0,14.0,19.0,6.0,7.0,8.0,4.0,7.0,8.0,1.0,11.0,15.0,42.0,49.0,3.0,4.0
2004,12,31,4,111,40,2,1,17,1,10000000,103.6,24.5,3.0,15.0,1.0,4.0,19.0,3.0,27.0,22.0,13.0,29.0,46.0,16.0,37.0,49.0,43.0,5.0,2.0,2.0,6.0,9.0,7.0,161.0,63.0,35.0,70.0,203.0,175.0,14.0,6.0,14.0,17.0,6.0,15.0,24.0,9.0,17.0,25.0,8.0,19.0,26.0,7.0,14.0,19.0,7.0,7.0,8.0,5.0,6.0,8.0,3.0,23.0,27.0,47.0,50.0,2.0,3.0
2005,1,7,4,150,47,1,3,5,1,17000000,51.8,28.0,7.0,3.0,15.0,8.0,4.0,19.0,24.0,27.0,22.0,25.0,29.0,46.0,47.0,37.0,49.0,8.0,5.0,2.0,9.0,6.0,9.0,14.0,189.0,14.0,322.0,147.0,21.0,189.0,6.0,13.0,17.0,7.0,16.0,24.0,8.0,16.0,25.0,8.0,19.0,26.0,7.0,14.0,19.0,6.0,7.0,8.0,6.0,7.0,8.0,6.0,11.0,14.0,19.0,29.0,1.0,3.0
2005,2,25,4,147,41,2,4,12,2,10000000,60.2,10.5,20.0,11.0,1.0,21.0,13.0,8.0,26.0,25.0,11.0,32.0,32.0,30.0,46.0,50.0,40.0,8.0,4.0,7.0,9.0,7.0,8.0,49.0,196.0,245.0,28.0,182.0,14.0,21.0,7.0,13.0,18.0,8.0,16.0,23.0,7.0,16.0,26.0,8.0,19.0,28.0,9.0,16.0,22.0,6.0,8.0,8.0,5.0,7.0,8.0,12.0,24.0,32.0,37.0,39.0,7.0,9.0
2005,3,4,4,144,27,3,3,16,0,17000000,67.2,17.5,3.0,20.0,11.0,27.0,21.0,13.0,30.0,26.0,25.0,43.0,32.0,32.0,44.0,46.0,50.0,4.0,8.0,4.0,8.0,9.0,7.0,154.0,357.0,126.0,140.0,294.0,28.0,14.0,8.0,12.0,17.0,8.0,16.0,23.0,8.0,15.0,26.0,8.0,18.0,28.0,9.0,17.0,22.0,6.0,8.0,8.0,4.0,6.0,8.0,8.0,12.0,23.0,40.0,43.0,1.0,4.0
2005,3,11,4,126,35,3,2,5,1,26000000,30.8,35.0,12.0,3.0,20.0,24.0,27.0,21.0,32.0,30.0,26.0,37.0,43.0,32.0,39.0,44.0,46.0,7.0,4.0,8.0,9.0,8.0,9.0,189.0,49.0,140.0,266.0,91.0,56.0,98.0,9.0,13.0,17.0,8.0,16.0,23.0,8.0,15.0,26.0,8.0,18.0,28.0,9.0,16.0,22.0,6.0,8.0,8.0,5.0,6.0,8.0,6.0,23.0,39.0,43.0,48.0,5.0,7.0
